claimID,corridor,subjectSite,evidencetype,quote,chapter,page,notes
R01,N (Kamo–Kitayama),Home of the Bishop of Kitayama,TEXTUAL_DIRECT,The temple was located a short distance away in the recesses of the mountains north of the capital.,5,84,Direction (north) plus a distance cue ('a short distance away').
R02,N (Kamo–Kitayama),The Urin'in Temple (north of the capital),TEXTUAL_DIRECT,...he decided to go on an excursion to view autumn fields and to pay a call on the Urin'in Temple north of the capital.,10,206,Historical temple (Murasakino district); real-site coordinates verifiable externally.
R03,N (Kamo–Kitayama),The Kamo Shrine,TEXTUAL_DIRECT,The Kamo Shrine was close enough to the Urin'in that a breeze might have been able to carry a message...,10,207,Chains the two northern stations at minimal separation.
R04,N (Kamo–Kitayama),The Retired Emperor's tomb (hills north of the capital),TEXTUAL_DIRECT,On the eve of his departure Genji set out at dusk for the hills north of the capital to visit the grave of his father.,12,232,Northern terminus of the pre-exile leave-taking circuit.
R05,NE (Ono–Hiei–Yokawa),Mount Hiei,TRANSLATOR_NOTE,"Mount Hiei is located northeast of Kyoto. Northeast was considered a permanently unlucky direction... (Ch53, p.1120, translator's note; similarly Ch2, p.20, note).",53,1120,Real mountain; fixed anchor for the NE corridor.
R06,NE (Ono–Hiei–Yokawa),The Ono villa (Ch39) / The nuns' residence at Ono (Ch53–54),TEXTUAL_DIRECT,"...because Ono was near the foot of Mount Hiei, he agreed to... (Ch39, p.717); Since the nuns resided in Ono on the lower slopes of Mount Hiei, their journey was a long one (Ch53, p.1127).",39,717,"Both Ono residences hang on the Hiei foothill node; keep as two stations, one node."
R07,NE (Ono–Hiei–Yokawa),The nuns' residence at Ono,TEXTUAL_DIRECT,"When the First Princess had completely recovered, the bishop returned to Yokawa. On the way he dropped by the residence in Ono... (p.1156); The only residents at Ono with any contact with the outside were those who traveled to and from Yokawa (Ch54, p.1170).",53,1156,"Also: a hunting party 'heading up Mount Hiei' passes the residence, though 'it was unusual for anyone to travel along the path that ran past the residence' (Ch53, p.1156)."
R08,NE (Ono–Hiei–Yokawa),Yokawa (the Bishop's temple),TEXTUAL_DIRECT,"...an exceptionally pious priest residing at Yokawa on Mount Hiei (Ch53, p.1120); Kaoru traveled to the main temple on Mount Hiei... The following day he moved on to the temple at Yokawa... a temple located in the recesses of Mount Hiei (Ch54, p.1166).",53,1120,"Ordering: main temple first, Yokawa deeper — a two-stop sequence on the mountain. Yokawa/Enryakuji are real (coordinates verifiable)."
R09,NE×SE (inter-corridor),Ono ↔ Uji,TEXTUAL_DIRECT,"Since the nuns resided in Ono on the lower slopes of Mount Hiei, their journey was a long one.",53,1127,Keeps the NE and SE corridor termini well separated on the map.
R10,E (Ōsaka–Ishiyama),"The Ōsaka Barrier (both labels, rows 94/124)",TRANSLATOR_NOTE,The pass is located between the capital and Lake Biwa to the east and was crossed by the main road that led to the Eastern Provinces.,16,314,"Translator's note; the pass is a real, verifiable site. Gate of the eastern corridor."
R11,E (Ōsaka–Ishiyama),Eastern route ordering,TEXTUAL_DIRECT,"...on the very day the Vice Governor was scheduled to reach the barrier gate at Ōsaka Pass on his way home, Genji was setting out on a pilgrimage to Ishiyama Temple near the southern end of Lake Biwa... When they reached the beach at Uchide on the southern shore of Lake Biwa, outrunners from Genji's procession came crowding in...",16,314,Both parties' itineraries interleave on one line; fixes station order east of the pass.
R12,E (Ōsaka–Ishiyama),Ishiyama Temple,TEXTUAL_DIRECT,...a pilgrimage to Ishiyama Temple near the southern end of Lake Biwa.,16,314,Real temple; eastern-corridor terminus for capital-based pilgrimage.
R13,E (Ōsaka–Ishiyama),The Ise Shrine (route),TEXTUAL_DIRECT,"Her reply, which she sent from the barrier gate at Ōsaka, did not reach him until the following day.",10,197,"The Ise-bound procession passes Ōsaka: Ise hangs off the EAST corridor's far end (not the Uji line), then far beyond the map edge."
R14,E×SE (inter-corridor),Ishiyama ↔ Uji,TEXTUAL_DIRECT,"Her mother was to come today and accompany her on a pilgrimage to the temple of Kannon at Ishiyama (Ch51, p.1049); Now that the trip to Ishiyama had been canceled, life at the Uji villa was extremely tedious (p.1054).",51,1049,Planned (canceled) pilgrimage attests a usable Uji–Ishiyama connection across corridors.
R15,SE (Uji–Hasedera),The Uji cluster (all 7 labels),TRANSLATOR_NOTE,"I live in my hermitage southeast of the capital, in a place that people in this world of woe call Ujiyama, mountain of sorrows (Kisen, Kokinshū 983; Ch45, p.829, translator's note; repeated Ch46, p.846).",45,829,"Direction from the Kisen allusion in Washburn's note; Uji itself is a real, verifiable place."
R16,SE (Uji–Hasedera),Capital→Uji route,TEXTUAL_DIRECT,"By the time they had passed the banks of the Kamo River and were in the vicinity of the Hōshōji Temple, it was daybreak (Ch50, p.1034); He traveled by carriage as far as Hōshōji Temple, then switched to a horse (Ch51, p.1044).",50,1034,"Hōshōji is a hard anchor: 'this temple... stood on the site now occupied by the Tōfukuji Temple' (Ch50, p.1034, translator's note). Carriage-to-horse switch marks where road becomes mountain path."
R17,SE (Uji–Hasedera),The Uji villa (the Eighth Prince's residence),TEXTUAL_DIRECT,"Because Hachinomiya's villa was on the near bank of the river, there was no need to arrange for a boat.",45,833,
R18,SE (Uji–Hasedera),The Minister's Uji estate (Yūgiri's),TEXTUAL_DIRECT,"...a handsome, expansive estate away from the capital on the far side of the Uji River.",46,847,Opposite bank from the Eighth Prince's villa; the Ch51 Tachibana hideaway is also far-bank.
R19,SE (Uji–Hasedera),The mountain temple above Uji (the ascetic's retreat),TEXTUAL_DIRECT,A saintly ascetic who was a master of esoteric Buddhism lived in the mountains at Uji...,45,829,
R20,SE (Uji–Hasedera),The ruined Suzaku villa (Ukifune's discovery site),TEXTUAL_DIRECT,"He then remembered that an old imperial villa formerly used by the late Emperor Suzaku was nearby, just north of the Uji River.",53,1121,"Washburn's note adds a traditional layer: 'This may be a reference to the real-life Emperor Suzaku (923–952), who used a villa near Uji' (p.1121) — TRADITIONAL, unverified."
