Location,LocationDescription
A woman's house at Nakagawa,"A woman's house at Nakagawa : A small dwelling in a grove of trees by the Nakagawa, the home of a woman Genji had once visited; he overhears her koto in the rustic Azuma mode. Genji pauses in his carriage at the gate and sends Koremitsu in with a poem (Washburn NC p. 223)."
Akashi (Genji's departure for the capital),Akashi (Genji's departure for the capital) ; The Akashi Lady's villa (foot of the hills) : on the departure morning Genji sends a poem to the Lady at her villa (Washburn NC p. 275).
Akashi (the Akashi Lady's residence),"Akashi (the Akashi Lady's residence) ; Nijō (Genji's villa) : the Akashi Lady's reply, sent back with Genji's returning messenger (Washburn NC p. 285)."
Akashi (the Akashi Priest's seaside residence),"Akashi (the Akashi Priest's seaside residence) ; The Rokujō estate (Genji's mansion) : the novitiate's farewell letter, revealing his long-ago dream-vision before he vanishes into the mountains (Washburn NC p. 605)."
An Untenanted Mansion,"An Untenanted Mansion : A deserted riverside villa near the capital to which Genji spirits Yūgao on the night of their elopement — overgrown and gloomy, its pond choked with weeds, tenanted only by a steward and a distant storehouse-dweller (Washburn NC pp. 66–68). Genji's party is lodged in the west hall (Washburn NC p. 67). Traditionally identified with the Kawara no in (Washburn NC p. 66 n.). Yūgao dies here."
"At sea, en route to Kyūshū (off Ōshima)","At sea, en route to Kyūshū (off Ōshima) : aboard ship to Kyūshū, the nurse's elder daughter laments the boatman's song (Washburn NC p. 406)."
"At sea, fleeing Kyūshū for the capital","At sea, fleeing Kyūshū for the capital : passing Matsuura as they flee, Ateki grieves the parting from her sister (Washburn NC p. 411)."
En route from Uji to the capital (Naka no Kimi's move),"En route from Uji to the capital (Naka no Kimi's move) : on the mountain road by the seventh-day moon, Naka no Kimi muses that the moon, despairing of a home, must return to the hills (Washburn NC p. 933)."
En route from the Rokujō estate (the shared carriage),"En route from the Rokujō estate (the shared carriage) : riding home together, Kashiwagi hints at the Third Princess in his warbler-and-cherry verse (Washburn NC p. 618)."
En route from the Sanjō residence to Nijō (dawn),"En route from the Sanjō residence to Nijō (dawn) : grieving the loss of Kumoi no Kari, Yūgiri frames a verse on his frosty dawn ride home (Washburn NC pp. 391–392)."
En route to Uji (Kaoru bringing Ukifune),"En route to Uji (Kaoru bringing Ukifune) : in the carriage, seeing the futaai colors of their sleeves, Kaoru murmurs that he looks on them as mementos of her, dew-drenched and heavy with sorrow (Washburn NC p. 1034)."
En route to Uji (Kaoru's night journey),"En route to Uji (Kaoru's night journey) : riding to Uji before dawn through wind and fog, the soaked Kaoru muses that his own tears fall more strangely than the dew (Washburn NC p. 833)."
