g.pnum,c.name,r.name,e.evidence,d.evidence
01KR01,The Kōrōden,The Kōrōden,"At her palace chambers, with the Emperor at her side, the dying Consort ""still managed to compose a verse for him"" (Washburn NC pp. 5–6). Those chambers are the Kōrōden — she had been ""installed in the chambers of the Kōrōden, a hall next to the Seiryōden"" (Washburn NC p. 5).","Received in person by the Emperor, present at the bedside: he ""returned to her chambers again"" and ""could not bring himself to let her go"" when she composed the verse (Washburn NC pp. 5–6)."
01KR02,The Seiryōden,Home of Genji's Grandmother,"The Emperor ""had even attached a poem"" to the letter he gave Myōbu before sending her out (Washburn NC pp. 7–8). Composition location inferred from context — the hall is not named here; the Emperor's quarters are the Seiryōden (Washburn NC pp. 4, 12).","Carried by Myōbu and delivered at the grandmother's home, where she ""looked at the note"" to which the Emperor ""had even attached a poem"" (Washburn NC p. 8)."
01KR03,Home of Genji's Grandmother,Home of Genji's Grandmother,"Uttered at the grandmother's home as Myōbu prepares to leave at dawn: she ""found it hard to leave this desolate abode,"" and the verse follows (Washburn NC p. 10).","The grandmother is present at her home and at once ""sent a response through an intermediary"" (Washburn NC p. 10); co-present."
01KR04,Home of Genji's Grandmother,Home of Genji's Grandmother,"The grandmother ""sent a response through an intermediary"" to Myōbu, composed within her home (Washburn NC p. 10).","Received by Myōbu, still at the house — ""Myōbu was reluctant to board her carriage"" (Washburn NC p. 10); same location."
01KR05,Home of Genji's Grandmother,The Seiryōden,"The grandmother's ""written response to his request,"" carried back by Myōbu with the memento robes (Washburn NC pp. 10–11). Composition location inferred from context — the writing is not depicted; she is at her home throughout the visit (Washburn NC pp. 7–10).","Read by the Emperor at the palace: Myōbu ""returned to the palace"" and found him ""gazing westward into the garden between the Seiryōden and the Kōrōden"" (Washburn NC p. 10), where ""he read the grandmother's written response"" (Washburn NC p. 11)."
01KR06,The Seiryōden,The Seiryōden,"A soliloquy in the same palace scene, as Myōbu ""had the mementos brought forth"" and the Emperor recalls Xuanzong's Taoist summoner (Washburn NC p. 11). He is in his quarters, ""gazing westward into the garden between the Seiryōden and the Kōrōden"" (Washburn NC p. 10).",Speaker = addressee (composed inwardly); same location.
01KR07,The Seiryōden,The Seiryōden,"A soliloquy composed at night; the place is named — ""his private chambers in the Seiryōden"" (Washburn NC p. 12) — and ""The moon was waning"" immediately precedes the verse (Washburn NC p. 12).",Speaker = addressee (composed inwardly); same location.
01KR08,The Seiryōden,The Seiryōden,"Recited in person at Genji's coming-of-age: ""His Majesty was seated . . . under the eastern eaves of his residence in the Seiryōden"" (Washburn NC p. 16), and ""presenting a cup of rice wine to the Minister"" he recites the verse (Washburn NC p. 17).","The Minister of the Left, summoned to the imperial quarters in the Seiryōden, is present and replies on the spot (Washburn NC pp. 17–18); co-present."
01KR09,The Seiryōden,The Seiryōden,"""The Minister composed this reply"" at the ceremony, immediately after the Emperor's verse and before he ""stepped down from the long bridge . . . and performed obeisance in the east garden"" (Washburn NC p. 18) — within the Seiryōden ceremony space.","Received in person by the Emperor, present at the Seiryōden; co-present, same location."
02HH01,House of the Finger Biting Lady,House of the Finger Biting Lady,"Within the Warden's anecdote, after the quarrel in which she ""grabbed my hand and bit one of my fingers,"" he ""composed a poem"" in her presence (Washburn NC p. 29).","Heard in person by the woman at the house of the Finger-Biting Lady, who at once ""burst into tears and shot back"" her reply (Washburn NC p. 29); co-present."
