05WM01,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM02,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM03,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM04,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM05,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM06,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM07,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM08,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM09,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM10,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM11,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama
05WM12,The Minister of the Left's residence,Home of the Bishop of Kitayama
05WM13,Home of the Bishop of Kitayama,The Minister of the Left's residence
05WM14,Indeterminate (text does not specify),Home of the Bishop of Kitayama
05WM15,Home of the Bishop of Kitayama,Indeterminate (text does not specify)
05WM16,Fujitsubo's residence,Fujitsubo's residence
05WM17,Fujitsubo's residence,Fujitsubo's residence
05WM18,Nijō (Genji's villa),The Late Major Counselor's residence
05WM19,Indeterminate (text does not specify),Indeterminate (text does not specify)
05WM20,The Late Major Counselor's residence,The Late Major Counselor's residence
05WM21,The Late Major Counselor's residence,The Late Major Counselor's residence
05WM22,The Secret Love's residence,The Secret Love's residence
05WM23,The Secret Love's residence,The Secret Love's residence
05WM24,Nijō (Genji's villa),Nijō (Genji's villa)
05WM25,Nijō (Genji's villa),Nijō (Genji's villa)
07MM01,The Kiritsubo,Fujitsubo's palace residence (the Higyōsha)
07MM02,Fujitsubo's palace residence (the Higyōsha),The Kiritsubo
07MM03,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue
07MM04,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue
07MM05,Nijō (Genji's villa),Fujitsubo's villa on Sanjō Avenue
07MM06,Fujitsubo's villa on Sanjō Avenue,Nijō (Genji's villa)
07MM07,The Seiryōden (the Emperor's residential palace),The Seiryōden (the Emperor's residential palace)
07MM08,The Seiryōden (the Emperor's residential palace),The Seiryōden (the Emperor's residential palace)
07MM09,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace
07MM10,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace
07MM11,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace
07MM12,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace
07MM13,Gen no Naishi's chambers at the palace,The Kiritsubo
07MM14,The Kiritsubo,Gen no Naishi's chambers at the palace
07MM15,The Kiritsubo,Tō no Chūjō's billet at the palace
07MM16,Tō no Chūjō's billet at the palace,The Kiritsubo
07MM17,The Palace,The Palace
08HE01,The Shishinden (the cherry-blossom banquet),The Shishinden (the cherry-blossom banquet)
08HE02,The Kokiden,The Kokiden
08HE03,The Kokiden,The Kokiden
08HE04,The Kokiden,The Kokiden
08HE05,The Kiritsubo,The Kiritsubo
08HE06,The Minister of the Right's residence,The palace
08HE07,The Minister of the Right's residence,The Minister of the Right's residence
08HE08,The Minister of the Right's residence,The Minister of the Right's residence
09AO01,The lustration procession (the carriage quarrel),The lustration procession (the carriage quarrel)
09AO02,Nijō (Genji's villa),Nijō (Genji's villa)
09AO03,Nijō (Genji's villa),Nijō (Genji's villa)
09AO04,The Kamo Festival (the viewing ground),The Kamo Festival (the viewing ground)
09AO05,The Kamo Festival (the viewing ground),The Kamo Festival (the viewing ground)
09AO06,The Kamo Festival (the viewing ground),The Kamo Festival (the viewing ground)
09AO07,The site of Lady Rokujō's healing rites,The Minister of the Left's residence (Sanjō)
09AO08,The Minister of the Left's residence (Sanjō),The site of Lady Rokujō's healing rites
09AO09,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO10,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO11,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO12,Lady Rokujō's residence (Rokujō),The Minister of the Left's residence (Sanjō)
09AO13,The Minister of the Left's residence (Sanjō),Lady Rokujō's residence (Rokujō)
09AO14,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO15,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO16,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO17,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO18,The Minister of the Left's residence (Sanjō),Princess Asagao's residence
09AO19,Princess Asagao's residence,The Minister of the Left's residence (Sanjō)
09AO20,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO21,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO22,Nijō (Genji's villa),Nijō (Genji's villa)
09AO23,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
09AO24,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
10SK01,The temporary shrine at Nonomiya (the plains of Sagano),The temporary shrine at Nonomiya (the plains of Sagano)
10SK02,The temporary shrine at Nonomiya (the plains of Sagano),The temporary shrine at Nonomiya (the plains of Sagano)
