claimId:ID(Claim-ID),subjectSite,referenceAnchor,evidenceType,quote,chapter:int,page:int,notes
C01,The imperial palace (Greater Palace compound),Heian-kyō street grid,HISTORICAL,"(No quote required: the Greater Palace occupied the north-center of the historical Heian-kyō grid, with the numbered avenues Ichijō–Kujō running south from it. All named palace halls and courtyards in the Locations Master nest within this anchor.)",,,Fixed anchor; all within-palace labels (Batch A) inherit its coordinate.
C02,Nijō (Genji's villa),Nijō Avenue,TEXTUAL_DIRECT,"Orders were sent down... to rebuild and expand the former residence of Genji's mother, a villa on Nijō Avenue.",1,19,
C03,Nijō (Genji's villa),Nijō Avenue × Tōin boulevard,TEXTUAL_DIRECT,"The party set off after dark, and when they turned at Nijō Avenue onto the boulevard of Tōin, they passed by Genji's villa.",10,197,Pins the villa to the Nijō×Tōin corner; also defines the Ise-procession segment (see C32).
C04,The Minister of the Right's residence,Nijō (Genji's villa),TEXTUAL_DIRECT,...to gather instead at the villa of the Minister of the Right across the way on Nijō Avenue.,10,215,
C05,The Minister of the Right's residence,Nijō Avenue,TEXTUAL_DIRECT,"Oborozukiyo decided to move back to a villa on Nijō that had once been occupied by her late father, the former Minister of the Right...",34,589,
C06,Tō no Chūjō's residence,Nijō Avenue,TEXTUAL_DIRECT,"Thus, he waited until evening and then went to Tō no Chūjō's villa on Nijō.",39,753,Verifies the placement asserted in the Location Description (row 126).
C07,The Late Major Counselor's residence,Nijō (Genji's villa),TEXTUAL_DIRECT,"Genji's residence in Nijō was close by, and so they arrived before first light.",5,110,Murasaki's grandmother's home; 'close by' relative to Nijō villa on the night abduction.
C08,The Minister of the Left's residence (Sanjō) [also: 'The Minister of the Left's residence'; 'The Sanjō residence (Princess Ōmiya's)'],Sanjō Avenue,TEXTUAL_DIRECT,"...Genji departed for the residence of the Minister of the Left, which was located on Sanjō Avenue.",1,18,One physical mansion across three same-site labels (rows 70/71/85).
C09,Fujitsubo's residence / family residence on Sanjō / villa on Sanjō Avenue,Sanjō Avenue,TEXTUAL_DIRECT,"She had withdrawn to her own villa on Sanjō Avenue, and so he called on her there.",7,137,"Also: 'Fujitsubo returned to her family residence at Sanjō' (Ch10, p.199). Covers rows 14/16/17."
C10,The Third Princess's Sanjō villa (origin of Kaoru's Sanjō residence),Sanjō Avenue,TEXTUAL_DIRECT,"...I could have the large, pleasant villa on Sanjō Avenue that father bequeathed to me refurbished for her use.",36,681,"Suzaku's bequeathed villa; refurbished for the Third Princess (Ch38, p.710)."
C11,"Kaoru's Sanjō residence (the Third Princess's, rebuilt)",The Third Princess's Sanjō villa,TEXTUAL_DIRECT,"...[the villa] burned to the ground, and the cloistered Third Princess had to move back to the estate at Rokujō.",46,867,"Fire (Ch46, p.867); reconstruction underway Ch47 (pp.901–902: 'the renovated Sanjō'); Kaoru moves in Ch48."
C12,"Kaoru's Sanjō residence (the Third Princess's, rebuilt)",Nijō (Genji's villa),TEXTUAL_DIRECT,"Because the place was close to the Nijō villa, he decided to pay yet another visit... / Kaoru gazed across from his new residence on Sanjō toward the blossoms at the Nijō villa...",48,934,Two quotes: p.934 and p.935. Constrains Sanjō-residence x-position toward the Nijō villa's column.
C13,Tamakazura's residence,The Third Princess's Sanjō villa,TEXTUAL_DIRECT,"Because she lived close to the Third Princess's villa on Sanjō, her sons often brought him home...",44,801,
C14,The small house near Sanjō (Ukifune's hideaway),Sanjō Avenue,TEXTUAL_DIRECT,"...a stylish house in the vicinity of Sanjō, but because it was still under construction it was not yet completely furnished.",50,1025,"Also 'the small house on Sanjō' (Ch50, p.1026)."
C15,Koremitsu's Mother's House on Gojō,Gojō Avenue,TEXTUAL_DIRECT,...the wife of the Senior Assistant Governor General for Kyūshū whose residence was now on Gojō.,4,55,
C16,Yūgao's House on Gojō,Koremitsu's Mother's House on Gojō,TEXTUAL_DIRECT,As he left he noticed that the shutters on the house to the west side of his nurse's home were now lowered.,4,58,"Precise adjacency: next door, west side."
C17,An Untenanted Mansion,the Gojō houses,TEXTUAL_INFERRED,That's true . . . we can't take her back to Gojō. The houses are just too close' (p.72); '...the villa nearby' (p.66).,4,72,Inference: reached before dawn from Gojō; 'too close' implies same district. No street named.
C18,An Untenanted Mansion,Kawara no In (Minamoto no Tōru's riverside villa),TRANSLATOR_NOTE,"Traditionally this villa has been associated with Kawara no in, a villa built by Minamoto no Tōru (822–895) and given to Retired Emperor Uda in 895 (Ch4, p.66, translator's note); The riverside villa of Minamoto Tōru... is thought to be the model for the deserted residence where Genji spent his ill-fated night (Ch14, p.291, translator's note).",4,66,"Identification citable from Washburn's own notes. Coordinates of the historical Kawara no In itself: TRADITIONAL_UNVERIFIED, to be confirmed against an external source."
C19,Ukon's residence (Gojō),Gojō,TEXTUAL_DIRECT,"At first, Ukon moved the young lady to her own residence in Gojō...",22,424,"Minor site, not currently a Locations Master label; useful as a triangulation node."
C20,Ukon's residence (Gojō),The Rokujō estate (and not far from the Kujō lodging),TEXTUAL_DIRECT,"Because Ukon's residence was located near Genji's new villa at Rokujō, it was not far from the young lady's lodgings in Kujō.",22,420,Double proximity: chains Gojō–Rokujō–Kujō in the city's southeast.
C21,"Lady Rokujō's mansion [also rows 33, 84]","Rokujō, near Kyōgoku, eastern outskirts",TEXTUAL_DIRECT,The villa on Rokujō was located in the lower district near Kyōgoku on the eastern outskirts of the capital.,14,297,"The sheet's most precise private-residence placement: Rokujō row, Kyōgoku column, city's eastern edge."
C22,The Rokujō estate (Genji's mansion),Kyōgoku × Rokujō,TEXTUAL_DIRECT,He decided to have his new estate constructed in the vicinity of Kyōgoku and Rokujō.,21,400,
C23,The Rokujō estate (Genji's mansion),Lady Rokujō's former villa,TEXTUAL_DIRECT,"...he acquired four parcels of land, one of which contained the former villa of the lady at Rokujō, which the Umetsubo Empress had inherited when her mother died.",21,400,Upgrades the 'likely absorbed' phrasing in the Location Descriptions to textual fact: the estate overlaps her villa's parcel.
