place,claims,placementBasis
A woman's house at Nakagawa,C31,At the Nakagawa crossing on the Nijō→Reikeiden route (Ch11 p.223).
Akashi (Genji's departure for the capital),R29,Departure shore (Ch13 pp.274–275); return route Akashi → Naniwa (R29).
Akashi (the Akashi Lady's residence),R27,Same hillside villa (Ch14).
Akashi (the Akashi Priest's seaside residence),R27,"Same seaside estate, later chapters."
An Untenanted Mansion,"C17,C18","Text: near the Gojō houses ('too close,' Ch4 p.72); tradition (Washburn notes Ch4 p.66, Ch14 p.291): Kawara no In, riverside — placed toward the eastern edge pending verification."
"At sea, en route to Kyūshū (off Ōshima)",R32,Outbound leg of the same sea lane (Ch22 p.406).
"At sea, fleeing Kyūshū for the capital",R32,Matsuura → Hibiki no Nada (Harima coast) → Kawajiri (Ch22 pp.411–412).
En route from Uji to the capital (Naka no Kimi's move),R16,"Reverse leg, Uji → Nijō by night (Ch48 pp.933–934)."
En route from the Rokujō estate (the shared carriage),C22,Point on the road out of the Rokujō estate (Ch34 p.618).
En route from the Sanjō residence to Nijō (dawn),"C08,C02",Point between the Sanjō mansion and the Nijō villa (Ch21 p.391).
En route to Uji (Kaoru bringing Ukifune),R16,Kamo River banks → Hōshōji vicinity at daybreak (Ch50 p.1034); Hōshōji = present Tōfukuji site (note).
En route to Uji (Kaoru's night journey),R16,Fog-bound mountain leg beyond Hōshōji (Ch45 p.833).
Fujitsubo's family residence on Sanjō,C09,"On Sanjō Avenue (Ch7 p.137; Ch10 p.199); one site, three labels."
Fujitsubo's palace residence (the Higyōsha),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
Fujitsubo's residence,C09,"On Sanjō Avenue (Ch7 p.137; Ch10 p.199); one site, three labels."
Fujitsubo's villa on Sanjō Avenue,C09,"On Sanjō Avenue (Ch7 p.137; Ch10 p.199); one site, three labels."
Gen no Naishi's chambers at the palace,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
Genji's Katsura villa,R38,"By the Katsura River, same-excursion reach of Ōi and the Sagano temple (Ch18 p.339; Ch19 p.348)."
