A woman's house at Nakagawa,"A small house in a grove by the Nakagawa River, home to a woman Genji had once known, which he passes on his way to Hanachirusato in Hanachirusato (Ch11, 'The Lady at the Villa of Scattering Orange Blossoms'). Hearing 'the lovely strains of a koto tuned to the rustic Azuma mode' from within, he 'realized that he had once visited the woman who lived there' (Ch11, p.223); a cuckoo calls 'as though the bird was inviting him inside,' and he sends Koremitsu in with a poem (Ch11, p.223). The two poems (11xx) are this cuckoo-prompted overture — which the woman coolly rebuffs. A brief roadside prelude to the chapter's main visit; cf. 'The Reikeiden Consort's villa.'",A woman's house at Nakagawa,600,1300,FALSE,fictional with evidence
Akashi (Genji's departure for the capital),"The Akashi shore at the moment of Genji's pardon and departure for the capital, in Akashi (Ch13, 'The Lady at Akashi'). As the day of departure nears, Genji's parting from the now-pregnant Akashi lady centers on music: he asks her to 'play one song on the koto for me as a keepsake for my heart' (Ch13, p.274) and, exchanging vows, gives her his own instrument — 'Take this koto as a memento until the time when we will play together again' (Ch13, p.274), the koto-keepsake verse. On the grand departure day the Priest presents Genji with hunting robes to which the lady has attached her farewell poem (Ch13, p.275). The six poems are this poignant leave-taking, weighted with Genji's promise that he will one day send for the lady and their daughter.",Akashi (Genji's departure for the capital),1200,-4000,FALSE,historical
An Untenanted Mansion,"A deserted, ruined mansion to which Genji secretly takes Yūgao, and where she dies, in Yūgao (Ch4, 'The Lady of the Evening Faces'). Approaching at dawn, they gaze at 'the shinobugusa ferns... shooting up in a wild tangle beneath a weathered gate,' 'the thick shade of overgrown trees' making the scene 'indescribably gloomy' (Ch4, p.67); the garden is 'overgrown and desolate,' the trees 'weirdly disturbing,' the pond 'choked with weeds' — 'dark, deserted, and a little terrifying' (Ch4, p.68). 'An eerie place,' Genji says, 'but I don't mind. No demons or spirits will trouble me' (Ch4, p.68) — words the night cruelly refutes when a spirit (implicitly the Rokujō lady's) appears and Yūgao dies in his arms. The four poems (04xx) belong to this most haunted of the tale's settings.",An Untenanted Mansion,1000,1000,FALSE,fictional without evidence
"At sea, fleeing Kyūshū for the capital","The night sea-flight by which Tamakazura's party escapes Kyūshū and the Audit Officer's forced marriage, in Tamakazura (Ch22, 'A Lovely Garland'). Having 'fled Kyūshū for the capital' by ship (Ch22, p.411), they pass 'the beach in front of the Matsuura Shrine' as the younger sister looks 'back in sorrow' at the family left behind; a poem rows them 'away from Ukishima, isle of woe' (Ch22, p.411). In 'a speedy boat' they race the waves, fearing the warlord's pursuit, until reaching the mouth of the Yodo River at Kawajiri brings relief 'as if they had come back to life' (Ch22). The three poems (22xx) belong to this tense, grief-laced flight home — the voyage that returns Tamakazura to the world of the capital.","At sea, fleeing Kyūshū for the capital",2000,2500,FALSE,historical
En route from Uji to the capital (Naka no Kimi's move),"The night road from Uji to the Nijō villa, traveled by Naka no Kimi when she moves to the capital as Niou's wife, in Sawarabi (Ch48, 'Early Fiddlehead Greens'). As the escort urges her to set out, 'the Princess was terribly flustered. Unsure of where she was headed, she felt helplessly forlorn' (Ch48, p.933); a lady-in-waiting rides with her, and 'the night was well advanced by the time she arrived at the Nijō villa' (Ch48, p.934). The three poems (48SW12–14) belong to this wrenching departure from Uji — leaving behind the river, the memory of her dead sister, and Kaoru. A transient site of transition between the Uji and capital worlds.",En route from Uji to the capital (Naka no Kimi's move),,,FALSE,null
En route from the Rokujō estate (the shared carriage),"The road from the Rokujō estate, taken in a shared carriage by Yūgiri and Kashiwagi after the kickball match at which Kashiwagi glimpsed the Third Princess through a raised blind, in Wakana (Ch34, 'Early Herbs'). 'He and Genji's son rode away in the same carriage, and they talked along the way' (Ch34, p.618). Kashiwagi, secretly smitten, murmurs a veiled verse — 'Why does the warbler darting through blossoms / From tree to tree single out the cherry' (Ch34, p.618) — the cherry standing for the Third Princess; Yūgiri answers in kind. The two poems (34WJ21–22) are this carriage exchange, the first tremor of the affair that will bring Kashiwagi to ruin.",En route from the Rokujō estate (the shared carriage),,,FALSE,null
En route from the Sanjō residence to Nijō (dawn),"The frosty dawn road by which Yūgiri travels from Princess Ōmiya's Sanjō residence back to his rooms at Genji's Nijō villa, in Otome (Ch21, 'Maidens of the Dance'). Devastated at being separated from Kumoinokari, he 'set off very early through the white frost of dawn to return to his rooms in the east annex at his father's Nijō villa,' the sky 'still dark and thickly overcast' (Ch21, p.391). The single poem (21OT06) is his grieving verse on the cold journey — 'Dark skies at dawn, when frost and ice...' A transient site of young heartbreak.",En route from the Sanjō residence to Nijō (dawn),450,500,FALSE,fictional without evidence
En route to Uji (Kaoru bringing Ukifune),"The dawn road from the capital to Uji along which Kaoru carries Ukifune to install her at the Uji villa, in Azumaya (Ch50, 'A Hut in the Eastern Provinces'). Passing 'the banks of the Kamo River... in the vicinity of the Hōshōji Temple, it was daybreak' (Ch50, p.1034); as they climb deeper into the fog, Kaoru notices 'the blue of his robe stood out starkly against the scarlet of Ukifune's, creating an ominous impression of mourning robes dyed in futaai' (Ch50, p.1034) and murmurs a poem to himself. The single poem (50AM09) turns on this ill-omened color pairing — a subtle foreshadowing of grief. A transient site colored by Kaoru's unshakable mourning for Ōigimi.",En route to Uji (Kaoru bringing Ukifune),,,FALSE,null
En route to Uji (Kaoru's night journey),"The fog-bound mountain road to Uji on Kaoru's first secret night visit to the Eighth Prince's villa, in Hashihime (Ch45, 'The Divine Princess at Uji Bridge'). 'Kaoru traveled on horseback; the closer he got to Uji, the denser the fog grew. As he made his way through undergrowth thick enough to obscure the path, he struggled against a fierce wind that shook the dew from the leaves of the trees' (Ch45, p.833), soaked and chilled, 'sad and exhilarated at the same time.' The single poem (45HS07) is his verse on the dew-drenched journey — the approach that opens the whole Uji drama.",En route to Uji (Kaoru's night journey),,,FALSE,null
Fujitsubo's palace residence (the Higyōsha),"Empress Fujitsubo's palace residence, the wisteria courtyard from which she takes her name: she was 'installed in the Higyōsha, which was also called the Fujitsubo because its chambers looked out onto a courtyard graced with wisteria' (Ch1, 'The Lady of the Paulownia-Courtyard Chambers,' p.15). In Momiji no ga (Ch7, 'An Imperial Celebration of Autumn Foliage') it stages the tale's most fraught tableau of concealed guilt: Genji 'performing music in Fujitsubo's quarters at the palace' while the Emperor joins them 'carrying the infant Prince in his arms' (Ch7, p.143) — the child secretly Genji's own. Fujitsubo's quarters are repeatedly figured as alluring precisely because they are 'off-limits' to Genji (cf. Ch8). The same physical courtyard reappears generations later as the Second Princess's quarters (see 'The Fujitsubo (the Second Princess's palace quarters),' Ch49).",Fujitsubo's palace residence (the Higyōsha),-200,-300,FALSE,historical
